State,Route,URL,Bus_Name,Type,Origin,Departure,Destination,Arrival,Duration,Fare,Seats,Rating
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),Benz Circle,23:45,Kukatpally,05:45,06h 00m,441,37 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),Benz Circle,23:25,Kukatpally,06:15,06h 50m,426,36 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Zingbus Plus,A/C Seater / Sleeper (2+1),Benz Circle,22:50,Kukatpally,05:40,06h 50m,370,27 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,AdShyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),Benz Circle,23:40,Kukatpally,06:05,06h 25m,475,50 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),Rtc bus stand,11:40,Kukatpally,19:10,07h 30m,450,40 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Durga Malleswari Travels,A/C Sleeper (2+1),NTR Circle,22:30,Kukatpally,05:45,07h 15m,870,18 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),Rtc bus stand,17:30,Kukatpally,00:15,06h 45m,450,41 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,AdSai Dasari Travels,Non A/C Seater / Sleeper (2+1),NTR Circle,22:59,Kukatpally,06:10,07h 11m,600,10 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),Benz Circle,23:50,Kukatpally,06:10,06h 20m,534,32 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,AC Sleeper (2+1),Benz Circle,23:40,Kukatpally,06:30,06h 50m,673,25 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),Tadepalli,22:30,Kukatpally,05:20,06h 50m,480,24 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),Tadepalli,21:30,Kukatpally,04:05,06h 35m,450,29 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),NTR Circle,23:00,Kukatpally,05:45,06h 45m,399,37 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),Rtc bus stand,16:00,Kukatpally,22:42,06h 42m,332,29 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),Benz Circle - Reliance trends,23:25,Kukatpally,05:55,06h 30m,550,36 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),Varadhi,16:20,Kukatpally,23:15,06h 55m,500,43 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),Rtc bus stand,12:30,Ramoji Film City,17:40,05h 10m,500,38 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),Rtc bus stand,10:00,Kukatpally,17:00,07h 00m,500,21 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),Benz Circle,23:20,Kukatpally,05:55,06h 35m,796,27 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri KVR Travels,A/C Sleeper (2+1),VJA RTC BUS STAND,23:45,Kukatpally,05:35,05h 50m,943,26 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Svkdt travels,A/C Sleeper (2+1),NTR Circle,23:20,Kukatpally,06:14,06h 54m,890,20 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri Sai Srinivasa Travels,Non A/C Seater / Sleeper (2+1),NTR Circle,22:00,Kukatpally,04:57,06h 57m,550,18 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),Gollapudi,23:30,Kukatpally,05:45,06h 15m,560,14 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),NTR Circle,10:35,Kukatpally,18:00,07h 25m,372,20 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,BSR Tours And Travels,VE A/C Sleeper (2+1),Ramavarapadu Ring Road,23:50,Kukatpally,06:15,06h 25m,1080,7 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,Yolo Bus,A/C Seater / Sleeper (2+1),Tadepalli,23:24,Kukatpally,05:43,06h 19m,450,28 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),Rtc bus stand,11:10,Kukatpally,18:10,07h 00m,450,39 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,V Kaveri Travels,A/C Seater / Sleeper (2+1),NTR Circle,23:05,Kukatpally,05:50,06h 45m,700,25 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,NueGo,Electric A/C Seater (2+2),NTR Circle,14:35,Kukatpally,22:00,07h 25m,332,30 Seats available,4.7
Andhra,Vijayawada To Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),Rtc bus stand,23:25,Kukatpally,05:40,06h 15m,407,25 Seats available,4.7
