State,Route,URL,Bus_Name,Type,Origin,Departure,Destination,Arrival,Duration,Fare,Seats,Rating
Bihar,Patna To Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,V.I.P Travels,A/C Seater / Sleeper (2+2),Bus Stand,21:40,Betiah Bus Stand,03:40,06h 00m,350,61 Seats available,3.7
Bihar,Patna To Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),Gandhi Maidan bsrtc bus depo,22:20,Betiah Bus Stand,05:00,06h 40m,550,54 Seats available,3.7
Bihar,Patna To Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di,AC Seater (2+2),Patliputra Bairiya ISBT,05:40,Betiah Bus Stand,10:12,04h 32m,450,41 Seats available,3.7
Bihar,Patna To Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di,AC Seater (2+2),Patliputra Bairiya ISBT,05:43,Betiah Bus Stand,10:15,04h 32m,450,41 Seats available,3.7
Bihar,Patna To Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di,AC Seater (2+2),Patliputra Bairiya ISBT,05:45,Betiah Bus Stand,10:17,04h 32m,450,41 Seats available,3.7
Bihar,Patna To Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Jai Mata Di,AC Seater (2+2),Patliputra Bairiya ISBT,05:47,Betiah Bus Stand,10:19,04h 32m,450,41 Seats available,3.7
Bihar,Patna To Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),Patliputra Bairiya ISBT,07:00,Betiah Bus Stand,12:30,05h 30m,450,42 Seats available,3.7
Bihar,Patna To Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),Patliputra Bairiya ISBT,07:12,Betiah Bus Stand,12:30,05h 18m,450,42 Seats available,3.7
Bihar,Patna To Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),Patliputra Bairiya ISBT,07:20,Betiah Bus Stand,12:30,05h 10m,450,42 Seats available,3.7
Bihar,Patna To Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah,Saurabh Travels,A/C Seater Push Back (2+2),Patliputra Bairiya ISBT,07:25,Betiah Bus Stand,12:45,05h 20m,450,42 Seats available,3.7
