State,Route,URL,Bus_Name,Type,Origin,Departure,Destination,Arrival,Duration,Fare,Seats,Rating
Himachal,Delhi To Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),ISBT Kashmiri Gate,23:00,Shimla By-Pass Crossing,08:00,09h 00m,495,29 Seats available,4.6
Himachal,Delhi To Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),ISBT Kashmiri Gate,23:25,Shimla By pass Mc Car Parking,07:45,08h 20m,499,30 Seats available,4.6
Himachal,Delhi To Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),Majnu Ka Tilla,23:30,Shimla,07:40,08h 10m,510,37 Seats available,4.6
Himachal,Delhi To Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,AdCity Land Travels,Volvo A/C Semi Sleeper (2+2),Majnu Ka Tila,09:15,Shimla New Bus Stand,19:05,09h 50m,430,21 Seats available,4.6
Himachal,Delhi To Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),ISBT Kashmiri Gate,23:30,Shimla By pass Mc Car Parking,08:00,08h 30m,499,51 Seats available,4.6
Himachal,Delhi To Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),Majnu Ka Tilla,22:55,Bypass Crossing,08:10,09h 15m,447,33 Seats available,4.6
Himachal,Delhi To Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Laxmi holidays,Bharat Benz A/C Semi Sleeper (2+2),ISBT Kashmiri Gate,22:50,Shimla By pass Mc Car Parking,07:40,08h 50m,499,40 Seats available,4.6
Himachal,Delhi To Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,City Land Travels,Volvo A/C Semi Sleeper (2+2),Majnu Ka Tila,09:40,Shimla New Bus Stand,19:30,09h 50m,480,30 Seats available,4.6
Himachal,Delhi To Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,City Land Travels,Volvo A/C Semi Sleeper (2+2),Majnu Ka Tila,22:30,Shimla New Bus Stand,06:00,07h 30m,548,29 Seats available,4.6
Himachal,Delhi To Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,City Land Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),Majnu Ka Tila,23:55,Shimla New Bus Stand,07:25,07h 30m,548,37 Seats available,4.6
Himachal,Delhi To Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,Heera Himachal Holidays,Volvo A/C Semi Sleeper (2+2),RK Ashram,21:30,Victory Tunnel Shimla,06:30,09h 00m,1149,22 Seats available,4.6
Himachal,Delhi To Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla,RAO TRAVELS INDIA PVT LTD.,AC Seater (2+2),Vasant Vihar Rao Tula Ram Marg,21:00,Shimla,07:30,10h 30m,1500,33 Seats available,4.6
Himachal,Shimla To Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,RSRTC - 192348,Super Luxury Volvo AC Seater Pushback 2+2,NEW BUS STAND ISBT SHIMLA,16:30,DELHI,02:00,09h 30m,1103,34 Seats available,2.8
Himachal,Shimla To Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Bedi Travels,Volvo A/C Semi Sleeper (2+2 ),Shimla By-Pass Crossing,21:30,ISBT Kashmiri Gate,05:30,08h 00m,504,14 Seats available,2.8
Himachal,Shimla To Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Ram Dalal Holidays,Mercedes Multi-Axle Semi Sleeper (2+2),Shimla,21:30,ISBT Kashmiri Gate,06:10,08h 40m,650,36 Seats available,2.8
Himachal,Shimla To Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,AdCity Land Travels,Volvo A/C Semi Sleeper (2+2),Shimla New Bus Stand,10:00,Majnu Ka Tila,18:30,08h 30m,450,25 Seats available,2.8
Himachal,Shimla To Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),Bypass Crossing,20:30,Majnu Ka Tilla,04:50,08h 20m,474,26 Seats available,2.8
Himachal,Shimla To Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),Shimla By pass Mc Car Parking,10:30,ISBT Kashmiri Gate,19:00,08h 30m,617,11 Seats available,2.8
Himachal,Shimla To Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),Shimla By pass Mc Car Parking,20:30,ISBT Kashmiri Gate,04:30,08h 00m,499,42 Seats available,2.8
Himachal,Shimla To Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,AdCity Land Travels,Volvo A/C Semi Sleeper (2+2),Shimla New Bus Stand,10:30,Majnu Ka Tila,19:00,08h 30m,448,25 Seats available,2.8
Himachal,Shimla To Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),Shimla New Bus Stand,22:30,ISBT Kashmiri Gate,05:30,07h 00m,548,30 Seats available,2.8
Himachal,Shimla To Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),Shimla New Bus Stand,22:00,ISBT Kashmiri Gate,05:00,07h 00m,488,27 Seats available,2.8
Himachal,Shimla To Delhi,https://www.redbus.in/bus-tickets/shimla-to-delhi,City Land Travels,Volvo A/C Semi Sleeper (2+2),Shimla New Bus Stand,21:00,ISBT Kashmiri Gate,04:25,07h 25m,448,28 Seats available,2.8
