State,Route,URL,Bus_Name,Type,Origin,Departure,Destination,Arrival,Duration,Fare,Seats,Rating
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Kadamba Transport Corporation Limited (KTCL) - 6237,Non AC Seater 2+2,Swargate,19:00,Mapusa,05:00,10h 00m,600,23 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),Swargate,21:00,Mapusa,07:30,10h 30m,999,22 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Amrutyog,A/C Sleeper (2+1),Swargate,22:00,Mapusa,09:30,11h 30m,1200,30 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),Swargate,21:00,Mapusa,08:30,11h 30m,1200,32 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),Swargate,22:30,Mapusa,08:45,10h 15m,660,12 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),Swargate,23:05,Mapusa,09:30,10h 25m,1180,32 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),Swargate,23:00,Mapusa,10:00,11h 00m,1054,15 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Zingbus Plus,VE A/C Sleeper (2+1),Swargate,23:55,Mapusa,11:10,11h 15m,819,18 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Vip Yellows,A/C Sleeper (2+1),Swargate,20:30,Mapusa,08:00,11h 30m,840,23 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),Swargate,23:30,Mapusa,09:50,10h 20m,1746,23 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),Swargate,21:40,Mapusa,08:45,11h 05m,1216,24 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray National Express,NON A/C Sleeper (2+1),Swargate,20:00,Mapusa,06:45,10h 45m,1300,23 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),Swargate,20:00,Mapusa,07:15,11h 15m,999,15 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),Swargate,20:15,Mapusa,06:30,10h 15m,1610,27 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,A/C Seater / Sleeper (2+1),Swargate,20:30,Mapusa,07:10,10h 40m,757,31 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,NON A/C Sleeper (2+1),Katraj,21:05,Mapusa,07:00,09h 55m,1200,30 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),Katraj,22:05,Mapusa,08:01,09h 56m,1200,27 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),Swargate,21:55,Mapusa,08:20,10h 25m,1404,26 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Divine,NON A/C Sleeper (1+2),Swargate,19:45,Mapusa,06:45,11h 00m,1300,24 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Indumati Travels,A/C Sleeper (2+1),Swargate,22:20,Mapusa,08:30,10h 10m,1400,26 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Shreyash Travels,Bharat Benz A/C Sleeper (2+1),Swargate,21:45,Mapusa,08:30,10h 45m,1515,11 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi Queen Prime,A/C Sleeper (2+1),Swargate,20:30,Mapusa,07:30,11h 00m,1499,18 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),Swargate,22:15,Mapusa,09:30,11h 15m,1320,30 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Zingbus Plus,VE A/C Sleeper (2+1),Swargate,02:30,Mapusa,13:10,10h 40m,1070,24 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),Tale Gaon,21:45,Mapusa,09:10,11h 25m,1420,23 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),Swargate,22:30,Mapusa,09:30,11h 00m,920,29 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),Hinje Wadi,23:15,Mapusa,09:35,10h 20m,1800,1 Seat available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Humsafar Travels,A/C Sleeper (2+1),Katraj,22:50,Mapusa,09:30,10h 40m,1250,21 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),Swargate,22:30,Mapusa,08:45,10h 15m,1185,26 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Pearl,Volvo Multi-Axle A/C Sleeper (2+1),Swargate,22:30,Mapusa,08:30,10h 00m,1900,36 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,PSR Travels Goa,A/C Sleeper (2+1),Swargate,23:45,Mapusa,09:15,09h 30m,1199,28 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Traveltime Travels (St.Christopher),Non AC Seater (2+2),Swargate,20:00,Mapusa,07:00,11h 00m,900,21 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),Wakad,21:00,Mapusa,08:00,11h 00m,1610,33 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Abhishek Vishal Travels (Samarth),A/C Sleeper (2+1),Katraj,23:50,Mapusa,10:05,10h 15m,1700,24 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Gogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),Swargate,21:00,Mapusa,07:55,10h 55m,799,21 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Prasanna - Purple Bus,Volvo A/C Sleeper (2+1),Swargate,21:45,Mapusa,08:45,11h 00m,1120,21 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Abhishek Vishal Travels,NON A/C Push Back (2+2),Katraj,21:25,Mapusa,07:10,09h 45m,1200,10 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),Padmavati Parking,22:00,Mapusa,08:00,10h 00m,1200,27 Seats available,4.6
Kadamba,Pune To Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Laxmi Queen Asta,A/C Sleeper (2+1),Swargate,21:30,Mapusa,08:00,10h 30m,1499,12 Seats available,4.6
