State,Route,URL,Bus_Name,Type,Origin,Departure,Destination,Arrival,Duration,Fare,Seats,Rating
Kerala,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),Madiwala,23:00,M M Ali Road (Calicut),09:00,10h 00m,899,18 Seats available,4.3
Kerala,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,MMK Travels,A/C Seater / Sleeper (2+1),Rajarajeshwari Nagar,22:50,Calicut,07:30,08h 40m,900,3 Seats available,4.3
Kerala,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,P K Travels,A/C Sleeper (2+1),Rajarajeshwari Nagar,22:50,Calicut/Kozhikode,06:30,08h 10m,1300,1 Seat available,4.3
Kerala,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Suraj Holidays,VE A/C Sleeper (2+1),Lal Bagh,22:50,Calicut,07:30,08h 40m,1050,1 Seat available,4.3
Kerala,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,Non A/C Seater / Sleeper (2+1),Kengeri,22:50,Calicut,06:30,07h 40m,899,1 Seat available,4.3
Kerala,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,DA Transports,A/C Sleeper (2+1),Kengeri,22:50,Kozhikode(Calicut),07:00,08h 10m,999,5 Seats available,4.3
Kerala,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,DLT BUS,A/C Sleeper (2+1),Bommanahalli,22:50,MM Ali road,07:30,08h 40m,899,1 Seat available,4.3
Kerala,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,National travels and logistics,NON A/C Sleeper (2+1),Nayandahalli Mysore Road Metr...,22:55,Calicut,06:30,07h 35m,1090,2 Seats available,4.3
Kerala,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Sam Tourist,NON AC Seater / Sleeper 2+1,Wonderla,23:00,Calicut,07:05,08h 05m,799,2 Seats available,4.3
Kerala,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,MMK Travels,A/C Sleeper (2+1),Kengeri,23:10,Calicut,06:40,07h 30m,999,2 Seats available,4.3
Kerala,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,National travels and logistics,A/C Sleeper (2+1),Satellite Bus Stand,23:00,Pavangad,07:00,08h 00m,1290,1 Seat available,4.3
Kerala,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,DA Transports,A/C Sleeper (2+1),KR Market Metro Station,22:50,New Bus Stand,07:15,08h 25m,2499,36 Seats available,4.3
Kerala,Bangalore To Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,J J YATRA,A/C Sleeper (2+1),Nayandahalli Metro,22:55,Calicut KSRTC Bus Stand,06:45,07h 50m,898,2 Seats available,4.3
Kerala,Kozhikode To Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,DLT BUS,A/C Sleeper (2+1),Engapuzha,22:55,Majestic,06:30,07h 35m,809,11 Seats available,4.3
Kerala,Kozhikode To Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Suraj Holidays,VE A/C Sleeper (2+1),MALAPARAMBA JN,22:50,Madiwala,07:15,09h 00m,800,17 Seats available,4.3
Kerala,Kozhikode To Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,DA Transports,A/C Sleeper (2+1),Adivaram,22:50,Mysore Bank Circle,06:45,07h 55m,699,12 Seats available,4.3
Kerala,Kozhikode To Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Vijay Lines,A/C Seater / Sleeper (2+1),Vythri,22:55,Bommanahalli,07:10,08h 15m,527,22 Seats available,4.3
Kerala,Kozhikode To Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,P K Travels,A/C Seater / Sleeper (2+1),Adivaram,22:50,Electronic City,06:45,07h 55m,765,31 Seats available,4.3
Kerala,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,EMERALD TRAVELS,Bharat Benz A/C Semi Sleeper (2+2),Edarikkode,22:48,Vyttila,02:40,03h 52m,762,15 Seats available,3.8
Kerala,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KP Travels,A/C Semi Sleeper (2+2),MM Ali road,22:55,Palarivattom,03:40,04h 45m,599,26 Seats available,3.8
Kerala,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,NON A/C Semi Sleeper (2+2),Edapal,22:55,Athani (Ekm),01:30,02h 35m,400,20 Seats available,3.8
Kerala,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),Calicut University,22:55,Vyttila,01:29,02h 34m,650,23 Seats available,3.8
Kerala,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KP Travels,Bharat Benz A/C Semi Sleeper (2+2),MM Ali road,23:00,Kundanoor,03:59,04h 59m,599,36 Seats available,3.8
Kerala,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KP Travels,Volvo AC Seater Pushback 2+2,MM Ali road,23:00,Kundanoor,03:50,04h 50m,649,35 Seats available,3.8
Kerala,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),MM Ali Road Palayam,23:05,Vyttila,03:15,04h 10m,899,13 Seats available,3.8
Kerala,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),Chemancheri,23:55,South Railway Station,05:30,05h 35m,648,8 Seats available,3.8
Kerala,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Madhavi Travels,A/C Semi Sleeper (2+2),M.M Ali Road Calicut,23:30,Vytila Junction,02:35,03h 05m,699,11 Seats available,3.8
Kerala,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),M.M Ali Road Calicut,23:30,Vytla Junction,03:10,03h 40m,799,29 Seats available,3.8
Kerala,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,UFO Bus,A/C Sleeper (2+1),Chemancheri,23:55,South Railway Station,05:30,05h 35m,765,12 Seats available,3.8
Kerala,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Madhavi Travels,A/C Sleeper (2+1),Koyilandy,23:30,Vytla Junction,05:00,05h 30m,899,6 Seats available,3.8
Kerala,Kozhikode To Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Sonia Travels,A/C Seater/Sleeper (2+1),Kozhikode,23:30,Vyttila,04:29,04h 59m,700,10 Seats available,3.8
