State,Route,URL,Bus_Name,Type,Origin,Departure,Destination,Arrival,Duration,Fare,Seats,Rating
Patiala and East Punjab,Patiala To Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 67139,AC Seater Hvac 2+2,Counter no 23 New Bus stand P...,09:05,ISBT Kashmiri Gate,14:06,05h 01m,440,39 Seats available,3.5
Patiala and East Punjab,Patiala To Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66648,Volvo AC Seater (2+2),Counter no 23 New Bus stand P...,09:50,ISBT Kashmiri Gate,14:51,05h 01m,692,24 Seats available,3.5
Patiala and East Punjab,Patiala To Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66649,Volvo AC Seater (2+2),Counter no 23 New Bus stand P...,12:40,ISBT Kashmiri Gate,18:05,05h 25m,692,29 Seats available,3.5
Patiala and East Punjab,Patiala To Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 67101,AC Seater Hvac 2+2,Counter no 23 New Bus stand P...,15:25,ISBT Kashmiri Gate,20:26,05h 01m,440,38 Seats available,3.5
Patiala and East Punjab,Patiala To Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 67142,Volvo AC Seater (2+2),Counter no 23 New Bus stand P...,16:00,ISBT Kashmiri Gate,22:09,06h 09m,692,37 Seats available,3.5
Patiala and East Punjab,Patiala To Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 66687,Volvo AC Seater (2+2),Counter no 23 New Bus stand P...,18:10,ISBT Kashmiri Gate,00:19,06h 09m,692,38 Seats available,3.5
Patiala and East Punjab,Patiala To Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,PEPSU (Punjab) - 67104,AC Seater Hvac 2+2,Counter no 23 New Bus stand P...,22:30,ISBT Kashmiri Gate,03:31,05h 01m,440,41 Seats available,3.5
Patiala and East Punjab,Delhi To Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67105,AC Seater Hvac 2+2,ISBT Kashmiri Gate,09:50,Patiala,15:20,05h 30m,440,36 Seats available,2.8
Patiala and East Punjab,Delhi To Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67160,Volvo AC Seater (2+2),ISBT Kashmiri Gate,11:45,Patiala,17:15,05h 30m,692,38 Seats available,2.8
Patiala and East Punjab,Delhi To Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66665,Volvo AC Seater (2+2),ISBT Kashmiri Gate,14:00,Patiala,19:00,05h 00m,692,36 Seats available,2.8
Patiala and East Punjab,Delhi To Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66689,Volvo AC Seater (2+2),ISBT Kashmiri Gate,15:26,Patiala,20:25,04h 59m,692,37 Seats available,2.8
Patiala and East Punjab,Delhi To Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67140,AC Seater Hvac 2+2,ISBT Kashmiri Gate,16:00,Patiala,21:30,05h 30m,440,40 Seats available,2.8
Patiala and East Punjab,Delhi To Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 66667,Volvo AC Seater (2+2),ISBT Kashmiri Gate,17:31,Patiala,22:30,04h 59m,692,39 Seats available,2.8
Patiala and East Punjab,Delhi To Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,PEPSU (Punjab) - 67103,AC Seater Hvac 2+2,ISBT Kashmiri Gate,22:31,Patiala,04:00,05h 29m,440,38 Seats available,2.8
Patiala and East Punjab,Ludhiana To Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Yolo Bus,VE A/C Seater / Sleeper (2+1),Sherpur Chowk,22:27,ISBT Kashmiri Gate,05:00,06h 33m,400,22 Seats available,4.5
Patiala and East Punjab,Ludhiana To Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,AC Sleeper (2+1),Ludhiana Bypass,22:50,RK Ashram,05:45,06h 55m,655,27 Seats available,4.5
Patiala and East Punjab,Ludhiana To Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Laxmi holidays,VE A/C Sleeper (2+1),Ludhiana Bypass,23:55,ISBT Kashmiri Gate,06:45,06h 50m,570,33 Seats available,4.5
Patiala and East Punjab,Ludhiana To Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),Sherpur Chowk,23:40,Majnu Ka Tilla,05:40,06h 00m,350,28 Seats available,4.5
Patiala and East Punjab,Ludhiana To Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),Ludhiana Bypass,22:45,IFFCO Chowk,06:00,07h 15m,425,15 Seats available,4.5
