State,Route,URL,Bus_Name,Type,Origin,Departure,Destination,Arrival,Duration,Fare,Seats,Rating
Rajasthan,Jodhpur To Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),Kalpana travels kalpaturu cin...,00:40,Kolhapura Bypass,05:30,04h 50m,700,41 Seats available,3.3
Rajasthan,Jodhpur To Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),Kalpana travels kalpaturu cin...,01:10,Kolhapura Bypass,06:00,04h 50m,700,41 Seats available,3.3
Rajasthan,Jodhpur To Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Shri Ganesh Travels,A/C Seater / Sleeper (2+1),SHREE GANESH TRAVELS DALLE KH...,01:30,Shree Ganesh Travels parwat p...,05:00,03h 30m,450,38 Seats available,3.3
Rajasthan,Jodhpur To Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,R.S.Sodha Travels,A/C Seater / Sleeper (2+1),Barvi Road Choraha,01:45,Prabhat pura By pass,05:20,03h 35m,660,41 Seats available,3.3
Rajasthan,Jodhpur To Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,Jain travels (regd.) below ho...,11:00,Makhupura bypass indian petro...,15:30,04h 30m,330,36 Seats available,3.3
Rajasthan,Jodhpur To Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,A/C Seater / Sleeper (2+1),Jain travels (regd.) below ho...,14:00,Makhupura bypass indian petro...,18:00,04h 00m,430,40 Seats available,3.3
Rajasthan,Jodhpur To Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,M R Travels,A/C Seater / Sleeper (2+1),M R Travels Near Pratap nagar,14:30,Parwat pura By pass,19:15,04h 45m,550,38 Seats available,3.3
Rajasthan,Jodhpur To Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,M R Travels,A/C Seater / Sleeper (2+1),M R Travels Near Pratap nagar,15:30,Parwat pura By pass,20:00,04h 30m,500,34 Seats available,3.3
Rajasthan,Jodhpur To Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,Jain travels (regd.) below ho...,15:30,Makhupura bypass indian petro...,20:30,05h 00m,330,42 Seats available,3.3
Rajasthan,Jodhpur To Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,NON A/C Sleeper (2+1),Jain travels (regd.) below ho...,16:00,Bypass (parbatpura),21:10,05h 10m,700,30 Seats available,3.3
Rajasthan,Jodhpur To Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,NON AC Seater/ Sleeper (2+1),"Jain travels, opp. Cazri main...",17:00,Makhupura bypass indian petro...,22:55,05h 55m,330,42 Seats available,3.3
Rajasthan,Jodhpur To Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,M R Travels,NON A/C Seater/ Sleeper (2+1),M R Travels Near Pratap nagar,18:30,Parwat pura By pass,23:40,05h 10m,450,41 Seats available,3.3
Rajasthan,Jodhpur To Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,B R Travels,AC Sleeper (2+1),B R TRAVELS BASNI MANDI MOD ...,18:30,Makhupura parbatpura byepass,23:00,04h 30m,600,30 Seats available,3.3
Rajasthan,Jodhpur To Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,Jain travels (regd.) below ho...,19:00,Makhupura bypass indian petro...,23:50,04h 50m,330,42 Seats available,3.3
