State,Route,URL,Bus_Name,Type,Origin,Departure,Destination,Arrival,Duration,Fare,Seats,Rating
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),Nawabab Hat,07:00,Karunamoyee,09:20,02h 20m,429,13 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line (Karunamoyee),Volvo 9600 Multi Axle Semi-Sleeper (2+2),Nawabab Hat,07:15,Karunamoyee,09:20,02h 05m,429,4 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline,Volvo A/C Seater (2+2),Nababhut Bus Stand,07:35,Esplanade,09:45,02h 10m,429,31 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),Nawabab Hat,07:40,Karunamoyee,10:00,02h 20m,429,14 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line,Volvo A/C Seater (2+2),Nawabab Hat,08:05,Esplanade,10:00,01h 55m,429,18 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),Nawabab Hat,08:25,Karunamoyee,10:40,02h 15m,429,7 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline (Karunamoyee),Volvo A/C Seater (2+2),Nababhat,08:50,Karunamoyee,11:50,03h 00m,429,15 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),Nawabab Hat,09:00,Esplanade,11:30,02h 30m,429,24 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line (Karunamoyee),Volvo 9600 A/C Semi Sleeper (2+2),Nawabab Hat,09:40,Karunamoyee,12:30,02h 50m,429,11 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),Nawabab Hat,09:45,Karunamoyee,12:45,03h 00m,429,23 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),Nawabab Hat,10:40,Esplanade,13:30,02h 50m,429,24 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),Nawabab Hat,10:45,Karunamoyee,13:45,03h 00m,429,45 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline (Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),Nababhat,11:00,Karunamoyee,14:00,03h 00m,429,22 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line,Volvo 9600 A/C Semi Sleeper (2+2),Nawabab Hat,11:40,Esplanade,14:30,02h 50m,429,27 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline,Volvo A/C Seater (2+2),Nababhut Bus Stand,12:30,Esplanade,15:30,03h 00m,429,27 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline (Karunamoyee),Volvo A/C Seater (2+2),Nababhat,13:00,Karunamoyee,15:50,02h 50m,429,31 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),Nawabab Hat,13:45,Karunamoyee,16:30,02h 45m,429,31 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),Nawabab Hat,14:05,Esplanade,16:45,02h 40m,429,28 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline (Karunamoyee),Volvo A/C B11R Multi Axle Semi Sleeper (2+2),Nababhat,14:10,Karunamoyee,17:10,03h 00m,429,25 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),Nababhat,14:25,Esplanade,17:20,02h 55m,429,27 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),Nawabab Hat,14:55,Karunamoyee,17:45,02h 50m,429,34 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line (Karunamoyee),Volvo A/C Seater (2+2),Nawabab Hat,15:20,Karunamoyee,18:10,02h 50m,429,10 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),Nawabab Hat,15:20,Esplanade,18:00,02h 40m,429,35 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline,Volvo A/C Seater (2+2),Nababhat,16:00,Esplanade,18:50,02h 50m,429,31 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line,Scania Multi-Axle AC Semi Sleeper (2+2),Nawabab Hat,16:10,Esplanade,19:00,02h 50m,429,24 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),Nawabab Hat,16:30,Esplanade,19:20,02h 50m,429,35 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline (Karunamoyee),Volvo A/C Seater (2+2),Nababhut Bus Stand,16:40,Karunamoyee,19:30,02h 50m,429,31 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),Nawabab Hat,17:00,Karunamoyee,20:00,03h 00m,429,38 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline,Volvo A/C Seater (2+2),Nababhat,17:00,Esplanade,19:50,02h 50m,429,45 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line (Karunamoyee),Volvo A/C Seater (2+2),Nawabab Hat,17:30,Karunamoyee,20:25,02h 55m,429,27 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),Nawabab Hat,17:40,Esplanade,20:30,02h 50m,429,19 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),Nawabab Hat,17:45,Karunamoyee,20:45,03h 00m,429,36 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline,Volvo A/C Seater (2+2),Nababhat,18:10,Esplanade,21:00,02h 50m,429,27 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Greenline (Karunamoyee),Volvo A/C Seater (2+2),Nababhat,18:30,Karunamoyee,21:20,02h 50m,429,24 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),Nawabab Hat,18:55,Karunamoyee,21:35,02h 40m,429,30 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Express Line,Volvo A/C Seater (2+2),Nawabab Hat,19:40,Dunlop,22:50,03h 10m,429,41 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Suman sabir,Non AC Seater (2+3),Nababhut Bus Stand,06:40,Esplanade,09:20,02h 40m,111,54 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),Nawabab Hat,12:05,Karunamoyee,15:00,02h 55m,429,18 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Suman sabir,Non AC Seater (2+3),Nababhut Bus Stand,13:15,Esplanade,16:00,02h 45m,111,54 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Suman sabir,Non AC Seater (2+3),Nababhut Bus Stand,13:30,Esplanade,16:00,02h 30m,111,61 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),Burdwan (Nawabhat,03:00,Esplanade,06:00,03h 00m,475,9 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Pammi Travels,Non A/C Seater / Sleeper (2+1),Burdawan,03:29,Babughat,06:00,02h 31m,600,54 Seats available,3.2
South Bengal,Burdwan To Kolkata,https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Pammi Travels,A/C Sleeper (2+1),Burdawan,03:59,Babughat,06:30,02h 31m,1200,12 Seats available,3.2
South Bengal,Kolkata To Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Shyamoli Paribahan Pvt Ltd,Volvo B11R Multi Axle Seater (2+2),Karunamoyee,06:00,Ullash,08:00,02h 00m,429,17 Seats available,4.3
South Bengal,Kolkata To Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,SHYAMOLI Pvt. Ltd.(Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),Karunamoyee,06:15,Ullash,08:15,02h 00m,429,30 Seats available,4.3
