State,Route,URL,Bus_Name,Type,Origin,Departure,Destination,Arrival,Duration,Fare,Seats,Rating
Telangana,Khammam To Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,BSR Tours And Travels,NON A/C Seater (2+2),Khammam,23:40,Erragadda,06:00,06h 20m,580,30 Seats available,4.2
Telangana,Khammam To Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),Khammam,23:40,Vanasthalipuram,04:00,04h 20m,600,28 Seats available,4.2
Telangana,Khammam To Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),KHAMAM,23:40,SR Nagar,05:00,05h 20m,510,41 Seats available,4.2
Telangana,Khammam To Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),Khammam,23:45,Lingampalli B H E L,06:00,06h 15m,550,31 Seats available,4.2
Telangana,Khammam To Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Venkateswara Travels,A/C Semi Sleeper (2+2),Khammam,23:45,Miyapur,05:20,05h 35m,750,28 Seats available,4.2
Telangana,Khammam To Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,RRR Travels,A/C Seater / Sleeper (2+1),Khammam,23:50,Moosapet,05:30,05h 40m,600,31 Seats available,4.2
Telangana,Khammam To Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,A/C Sleeper (2+1),KHAMAM,23:58,Vanasthalipuram,05:00,05h 02m,780,35 Seats available,4.2
Telangana,Khammam To Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),Khammam,23:59,Lakdikapul,05:00,05h 01m,470,13 Seats available,4.2
Telangana,Khammam To Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),Khammam,23:59,Miyapur,06:10,06h 11m,600,17 Seats available,4.2
Telangana,Khammam To Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),Khammam,23:59,Nizampet,05:00,05h 01m,600,29 Seats available,4.2
Telangana,Khammam To Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,BSR Tours And Travels,A/C Seater / Sleeper (2+1),Khammam,23:59,Erragadda,06:00,06h 01m,610,21 Seats available,4.2
Telangana,Khammam To Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),Khammam,23:59,Lakdikapul,05:00,05h 01m,470,16 Seats available,4.2
Telangana,Khammam To Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),KHAMAM,00:30,Beeramguda,05:30,05h 00m,650,26 Seats available,4.2
Telangana,Khammam To Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),Khammam Kinnera hospital,00:30,SR Nagar,05:00,04h 30m,500,21 Seats available,4.2
