State,Route,URL,Bus_Name,Type,Origin,Departure,Destination,Arrival,Duration,Fare,Seats,Rating
West Bengal Surface,Kolkata To Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),Esplanade,07:30,Digha,11:55,04h 25m,349,20 Seats available,4.6
West Bengal Surface,Kolkata To Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),Esplanade,23:30,Digha,04:30,05h 00m,400,30 Seats available,4.6
West Bengal Surface,Kolkata To Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),Santragachi,07:30,Digha,12:00,04h 30m,350,16 Seats available,4.6
West Bengal Surface,Kolkata To Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),Esplanade,08:15,Digha,12:45,04h 30m,350,13 Seats available,4.6
West Bengal Surface,Kolkata To Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Greenline,Volvo A/C Seater (2+2),Esplanade,07:30,RAJBARI KALI MANDIR,11:45,04h 15m,350,27 Seats available,4.6
West Bengal Surface,Kolkata To Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Parameswar Travels,A/C Seater Push Back (2+3),Esplanade,23:45,New Digha,05:00,05h 15m,302,51 Seats available,4.6
West Bengal Surface,Kolkata To Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Maa Chandi Travels,A/C Seater / Sleeper (2+2),Karunamoyee,22:00,Bus Stand,05:30,07h 30m,400,31 Seats available,4.6
West Bengal Surface,Kolkata To Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Parameswar Travels,A/C Seater Push Back (2+3),Esplanade,07:35,Digha Bus Stand,12:15,04h 40m,285,36 Seats available,4.6
West Bengal Surface,Kolkata To Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Mayuri Express,AC Seater (2+2),Esplanade,23:15,Bus Stand,04:30,05h 15m,300,29 Seats available,4.6
West Bengal Surface,Kolkata To Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),Esplanade,23:57,New Digha Bus Stand,05:10,05h 13m,365,29 Seats available,4.6
West Bengal Surface,Kolkata To Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Maa Chandi Travels,A/C Seater / Sleeper (2+2),Esplanade,23:57,Bus Stand,05:10,05h 13m,400,41 Seats available,4.6
West Bengal Surface,Kolkata To Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Sagufta Travels (Bhorpet Travels),AC Seater (2+2),Esplanade,23:55,New Digha Bus Stand,04:35,04h 40m,365,24 Seats available,4.6
West Bengal Surface,Kolkata To Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Express Line,Volvo 9600 A/C Seater (2+2),Esplanade,23:45,Digha,04:45,05h 00m,359,49 Seats available,4.6
West Bengal Surface,Kolkata To Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Sagufta Travels (Mayuri),A/C Seater (2+2),Esplanade,23:15,old digha bus stand,04:00,04h 45m,365,20 Seats available,4.6
West Bengal Surface,Kolkata To Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),Esplanade,07:30,Digha Bus Stand,12:00,04h 30m,379,41 Seats available,4.6
